seals,noise,month,tide,date,time,location,j.date,site
0,55.6,10,1.25,10/30/2020,11,2,2459152.972,waterfront
5,43.7,10,1.44,10/31/2020,12,2,2459154.026,waterfront
2,50.5,11,1.83,11/2/2020,10,2,2459155.924,waterfront
3,48.7,11,1.96,11/3/2020,15,2,2459157.125,waterfront
0,55.3,11,1.91,11/4/2020,13,2,2459158.051,waterfront
4,46.2,11,1.94,11/5/2020,16,2,2459159.969,waterfront
0,44.1,11,2.41,11/6/2020,11,2,2459162.91,waterfront
3,44.3,11,2.53,11/7/2020,12,2,2459164.128,waterfront
4,54.2,11,2.03,11/9/2020,9,2,2459165.101,waterfront
6,48.7,11,2.26,11/10/2020,15,2,2459166.079,waterfront
1,47.3,11,2.47,11/11/2020,14,2,2459166.961,waterfront
16,58,11,2.58,11/12/2020,13,2,2459168.044,waterfront
3,55.8,11,1.79,11/13/2020,11,2,2459169.91,waterfront
5,49.3,11,2.14,11/14/2020,13,2,2459166.961,waterfront
0,53.1,11,2.05,11/15/2020,11,2,2459168.044,waterfront
11,55.2,11,2.08,11/16/2020,9,2,2459169.91,waterfront
10,56,11,2.16,11/18/2020,13,2,2459172.042,waterfront
13,53,11,2.11,11/19/2020,14,2,2459173.112,waterfront
22,55.6,11,2.68,11/20/2020,11,2,2459173.979,waterfront
3,59.4,11,2.69,11/21/2020,12,2,2459175.017,waterfront
12,49.7,11,2.17,11/22/2020,14,2,2459178.154,waterfront
12,50,11,2.08,11/23/2020,9,2,2459182.018,waterfront
1,63.3,11,2.06,11/24/2020,15,2,2459183.009,waterfront
12,46.8,11,2.06,11/28/2020,12,2,2459183.91,waterfront
3,44.9,11,2.06,11/29/2020,12,2,2459185.143,waterfront
0,58.6,11,2.06,11/30/2020,9,2,2459185.957,waterfront
2,44.6,6,1.99,6/7/2021,15,2,2459373.166,waterfront
0,52.5,6,-0.21,6/28/2021,15,2,2459394.128,waterfront
1,57.6,6,0.06,6/29/2021,15,2,2459395.135,waterfront
0,53.1,6,2.12,7/6/2021,15,2,2459402.132,waterfront
3,55.5,7,0.76,7/16/2021,15,2,2459412.128,waterfront
7,54.3,7,2.13,7/20/2021,15,2,2459416.127,waterfront
5,57.4,7,1.89,7/21/2021,15,2,2459417.138,waterfront
14,43.9,7,0.17,7/27/2021,15,2,2459423.129,waterfront
1,46.7,7,2.07,8/3/2021,15,2,2459430.13,waterfront
3,57.7,8,1.55,8/6/2021,15,2,2459433.13,waterfront
10,40.1,8,0.5,8/10/2021,15,2,2459437.127,waterfront
6,50.1,8,0.6,8/12/2021,15,2,2459439.13,waterfront
5,44.2,8,2.23,8/17/2021,15,2,2459444.129,waterfront
3,42.1,8,0.71,8/24/2021,15,2,2459451.128,waterfront
3,47.9,8,0.85,8/26/2021,15,2,2459453.126,waterfront
0,46.8,8,2.21,8/31/2021,15,2,2459458.132,waterfront
2,49.2,8,0.72,9/8/2021,10,2,2459465.921,waterfront
4,47.9,9,2.27,9/14/2021,15,2,2459472.131,waterfront
3,43.9,9,2.11,9/15/2021,13,2,2459473.042,waterfront
1,47.8,9,2.22,9/29/2021,15,2,2459487.163,waterfront
